reaction_adv_metalsmith_D_furniture_advmd

[OBJECT:REACTION]

[REACTION:SMITH_ANIMALTRAP_METALSMITH_ADVMD]
	[NAME:smith animal trap]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:blast furnace:1:TOOL:ITEM_TOOL_FURNACE_BLAST:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:anvil:1:ANVIL:NONE:NONE:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:A:1:GLOB:NONE:NONE:NONE][METAL_ITEM_MATERIAL][DOES_NOT_DETERMINE_PRODUCT_AMOUNT]
	[REAGENT:B:1:ROCK:NONE:INORGANIC:COAL_CLUMP:NO_MATGLOSS]
	[REAGENT:C:1:NONE:NONE:NONE:NONE][ANY_LEATHER_MATERIAL][PRESERVE_REAGENT]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][METAL_ITEM_MATERIAL][PRESERVE_REAGENT]
	[REAGENT:tongs:1:TOOL:ITEM_TOOL_TONGS:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:ANIMALTRAP:NONE:GET_MATERIAL_FROM_REAGENT:A:NONE]
	[PRODUCT:100:1:POWDER_MISC:NONE:INORGANIC:EMBERS:NONE][PRODUCT_DIMENSION:1][PRODUCT_TO_CONTAINER:blast furnace]
	[SKILL:FORGE_FURNITURE]
	[CATEGORY:ADVMD_METAL_FURNITURE]
	[CATEGORY_NAME:Metalsmith (furniture)]
	[CATEGORY_DESCRIPTION:Forge/smith metal furniture.]

[REACTION:SMITH_ANVIL_METALSMITH_ADVMD]
	[NAME:smith anvil]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:blast furnace:1:TOOL:ITEM_TOOL_FURNACE_BLAST:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:anvil:1:ANVIL:NONE:NONE:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:A:2:GLOB:NONE:NONE:NONE][METAL_ITEM_MATERIAL][DOES_NOT_DETERMINE_PRODUCT_AMOUNT]
	[REAGENT:B:1:ROCK:NONE:INORGANIC:COAL_CLUMP:NO_MATGLOSS]
	[REAGENT:C:1:NONE:NONE:NONE:NONE][ANY_LEATHER_MATERIAL][PRESERVE_REAGENT]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][METAL_ITEM_MATERIAL][PRESERVE_REAGENT]
	[REAGENT:tongs:1:TOOL:ITEM_TOOL_TONGS:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:ANVIL:NONE:GET_MATERIAL_FROM_REAGENT:A:NONE]
