reaction_adv_woodworker_b_advmd

[OBJECT:REACTION]

[REACTION:SIGN_ARMORSMITHS_WOODWORKER_ADVMD]
	[NAME:craft armorsmith's shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_ARMORSMITHS:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]
	[CATEGORY_NAME:Woodworker (carpentry - shop signs)]
	[CATEGORY_DESCRIPTION:Work and build with wood.]

[REACTION:SIGN_BONECARVER_WOODWORKER_ADVMD]
	[NAME:craft bone carver's shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_BONECARVERS:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_BOWYER_WOODWORKER_ADVMD]
	[NAME:craft bowyer's shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_BOWYERS:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_CLOTH_WOODWORKER_ADVMD]
	[NAME:craft cloth shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_CLOTH:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_CLOTHING_IMPORTS_WOODWORKER_ADVMD]
	[NAME:craft clothing imports sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_CLOTHING_IMPORTS:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_CLOTHING_SHOP_WOODWORKER_ADVMD]
	[NAME:craft clothing shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_CLOTHING_SHOP:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_GLASSMAKERS_WOODWORKER_ADVMD]
	[NAME:craft glassmaker's shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_GLASSMAKERS:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_GUILD_WOODWORKER_ADVMD]
	[NAME:craft guild shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_GUILD:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_IMPORTED_FOOD_WOODWORKER_ADVMD]
	[NAME:craft food imports sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_IMPORTED_FOOD:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_IMPORTED_GOODS_WOODWORKER_ADVMD]
	[NAME:craft imports sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_IMPORTED_GOODS:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_LEATHER_WOODWORKER_ADVMD]
	[NAME:craft leather shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
	[REAGENT:hammer:1:TOOL:ITEM_TOOL_HAMMER:NONE:NONE][PRESERVE_REAGENT]
	[REAGENT:chisel:1:TOOL:ITEM_TOOL_CHISEL:NONE:NONE][PRESERVE_REAGENT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_SIGN_LEATHER:GET_MATERIAL_FROM_REAGENT:log:NONE]
	[PRODUCT:100:1:POWDER_MISC:NO_SUBTYPE:PLANT_MAT:WOOD_SHAVINGS:MILL][PRODUCT_DIMENSION:1]
	[SKILL:CARPENTRY]
	[CATEGORY:ADVMD_WOODWORKER4]

[REACTION:SIGN_LEATHER_GOODS_WOODWORKER_ADVMD]
	[NAME:craft leather goods shop sign]
	[ADVENTURE_MODE_ENABLED]
	[REAGENT:log:2:WOOD:NONE:NONE:NONE][ANY_PLANT_MATERIAL]
